Company ,Organization,Date,Headline,Article,Relevance
AMZN,Amazoncom Inc,26-02-2015,Amazon hires former Obama press secretary Carney: Politico ,WASHINGTON Amazon.com Inc has hired President Barack Obama's former spokesman Jay Carney as senior vice president for worldwide corporate affairs  Politico reported on Thursday.,topStory
AMZN,Amazoncom Inc,26-02-2015,Amazon hires former Obama press secretary Carney - Politico ,WASHINGTON  Feb 26 Amazon.com Inc has hired President Barack Obama's former spokesman Jay Carney as senior vice president for worldwide corporate affairs  Politico reported on Thursday.,normal
AMZN,Amazoncom Inc,06-03-2015,Amazon opens store on Alibaba's online marketplace Tmall ,March 5 Amazon.com Inc has opened an online store on Alibaba Group Holding Ltd's  fast-growing online marketplace  Tmall.com as it seeks to expand in China  an Alibaba spokesman said.,topStory
AMZN,Amazoncom Inc,12-03-2015,German retailer REWE steels for Amazon move into food ,COLOGNE  Germany Germany's second-biggest supermarket group REWE is investing heavily in grocery ecommerce even though it does not expect to turn a profit soon  as it braces for Amazon to expand its food delivery service.,topStory
AMZN,Amazoncom Inc,12-03-2015,Alibaba hiring in Amazon  Microsoft backyard as U.S. cloud unit expands ,BEIJING China's Alibaba Group Holding Ltd  the world's largest e-commerce firm  has begun hunting staff in Seattle  home turf of Amazon.com Inc and Microsoft Corp  focusing on savvy cloud computing hires as it ramps up U.S. operations.,normal
AMZN,Amazoncom Inc,12-03-2015,Alibaba hiring in Amazon  Microsoft backyard as US cloud unit expands ,BEIJING  March 12 China's Alibaba Group Holding Ltd  the world's largest e-commerce firm  has begun hunting staff in Seattle  home turf of Amazon.com Inc  and Microsoft Corp  focusing on savvy cloud computing hires as it ramps up U.S. operations.,normal
AMZN,Amazoncom Inc,19-03-2015,U.S. regulators give Amazon go-ahead for drone tests ,SEATTLE Amazon.com Inc has won approval from U.S. federal regulators to test a delivery drone outdoors  as the e-commerce company pursues its goal of sending packages to customers by air  even as it faces public concern about safety and privacy.,topStory
AMZN,Amazoncom Inc,19-03-2015,UPDATE 3-U.S. regulators give Amazon go-ahead for drone tests ,SEATTLE  March 19 Amazon.com Inc has won approval from U.S. federal regulators to test a delivery drone outdoors  as the e-commerce company pursues its goal of sending packages to customers by air  even as it faces public concern about safety and privacy.,normal
AMZN,Amazoncom Inc,20-03-2015,U.S. regulators give Amazon go-ahead for drone tests ,SEATTLE Amazon.com Inc has won approval from U.S. federal regulators to test a delivery drone outdoors  as the e-commerce company pursues its goal of sending packages to customers by air  even as it faces public concern about safety and privacy.,topStory
AMZN,Amazoncom Inc,24-03-2015,Amazon blasts U.S. agency for slowness on drone regulation ,WASHINGTON E-commerce power Amazon.com blasted federal regulators on Tuesday for being slow to approve commercial drone testing  saying the United States is falling behind other countries in the potentially lucrative area of unmanned aviation technology.,topStory
