Company,Organization,Date,Headline,Article,Relevance
CSCO,Cisco Systems Inc,16-02-2015,France says Cisco to invest 100 million euros in French startups ,PARIS U.S. network equipment maker Cisco Systems Inc. plans to invest $100 million in French start-ups  French Prime Minister Manuel Valls' office said on Monday.,topStory
CSCO,Cisco Systems Inc,16-02-2015,France says Cisco to invest 100 mln euros in French startups ,PARIS  Feb 16 U.S. network equipment maker Cisco Systems Inc. plans to invest $100 million in French start-ups  French Prime Minister Manuel Valls' office said on Monday.,normal
CSCO,Cisco Systems Inc,04-05-2015,Cisco veteran Robbins to take over as CEO from Chambers ,Cisco Systems Inc Chief Executive John Chambers will step down in July after 20 years at the helm of the network equipment maker  a symbol of the dot.com stock boom 15 years ago now struggling to boost its bottom line in the era of cloud computing.,topStory
CSCO,Cisco Systems Inc,04-05-2015,UPDATE 4-Cisco veteran Robbins to take over as CEO from Chambers ,May 4 Cisco Systems Inc Chief Executive John Chambers will step down in July after 20 years at the helm of the network equipment maker  a symbol of the dot.com stock boom 15 years ago now struggling to boost its bottom line in the era of cloud computing.,normal
CSCO,Cisco Systems Inc,05-05-2015,Cisco looks to salesman Robbins for tech leadership ,SEATTLE Chuck Robbins  the veteran salesman chosen by Cisco Systems Inc to succeed legendary CEO John Chambers  must prove he has the technical knowledge to chart a new course and lead the network equipment maker into the new world of cloud-based computing.,topStory
CSCO,Cisco Systems Inc,05-05-2015,Cisco set to boost Internet speed for cable companies ,Network equipment maker Cisco Systems Inc is set to launch a converged cable access platform  enabling cable operators offer download speeds of one gigabit a second or more.,normal
CSCO,Cisco Systems Inc,05-05-2015,Cisco veteran Robbins to take over as CEO from Chambers ,Cisco Systems Inc Chief Executive John Chambers will step down in July after 20 years at the helm of the network equipment maker  a symbol of the dot.com stock boom 15 years ago now struggling to boost its bottom line in the era of cloud computing.,normal
CSCO,Cisco Systems Inc,05-05-2015,Cisco looks to salesman Robbins for tech leadership ,SEATTLE  May 4 Chuck Robbins  the veteran salesman chosen by Cisco Systems Inc to succeed legendary CEO John Chambers  must prove he has the technical knowledge to chart a new course and lead the network equipment maker into the new world of cloud-based computing.,normal
CSCO,Cisco Systems Inc,13-05-2015,Cisco profit edges past estimates despite weak telecom spending ,Cisco Systems Inc's  quarterly profit edged past market estimates as demand for new switches  routers  wireless gear and servers made up for sluggish spending by telecom customers and weak sales in emerging markets.,topStory
CSCO,Cisco Systems Inc,13-05-2015,Cisco revenue rises 5 pct ,May 13 Network equipment maker Cisco Systems Inc  reported a 5.1 percent rise in quarterly revenue  helped by demand for its switching equipment and routers.,normal
CSCO,Cisco Systems Inc,14-05-2015,Cisco profit edges past estimates despite weak telecom spending ,Cisco Systems Inc's  quarterly profit edged past market estimates as demand for new switches  routers  wireless gear and servers made up for sluggish spending by telecom customers and weak sales in emerging markets.,topStory
CSCO,Cisco Systems Inc,26-05-2015,U.S. top court rules against Cisco Systems in patent infringement fight ,WASHINGTON The U.S. Supreme Court on Tuesday ruled against Cisco Systems Inc over a patent infringement claim the tech giant is fighting.,topStory
CSCO,Cisco Systems Inc,26-05-2015,U.S. top court rules against Cisco Systems in patent infringement fight ,WASHINGTON  May 26 The U.S. Supreme Court on Tuesday ruled against Cisco Systems Inc over a $64 million patent infringement verdict the tech giant is fighting.,normal
CSCO,Cisco Systems Inc,27-05-2015,Scalia says Cisco ruling by high court will increase power of 'patent trolls' ,"NEW YORK U.S. Supreme Court Justice Antonin Scalia  no stranger to speaking his mind both from the bench and in his opinions  used the derogatory term ""patent trolls"" in a strongly-worded dissent on Tuesday  saying the controversial entities have been handed a victory by the majority's opinion in a case involving Cisco Systems Inc.",topStory
CSCO,Cisco Systems Inc,28-05-2015,BRIEF-Bluegrace United investment in Amper conditional upon closure of negotiations with Cisco ,* Said on Wednesday that Bluegrace United Ltd had not provided the proof for availability of funds to take part in Amper capital increase  as it decided not to carry out its investment until the negotiations with Cisco are completed,topStory
