Company,Organization,Date,Headline,Article,Relevance
GOOG,Alphabet Inc,18-02-2015,"Google's YouTube to launch subscription model in ""few months"" - CNBC ",Feb 18 Google Inc is set to launch a subscription model for YouTube in a few months  CNBC quoted Robert Kyncl  the online video service's head of content and business operations as saying at the Code/Media conference.,topStory
GOOG,Alphabet Inc,18-02-2015,BRIEF-Expert System becomes technology partner of Google Cloud Platform ,* Reported on Tuesday that it has joined Google's  partner program as technology partner of the Google Cloud platform,normal
GOOGL,Alphabet Inc,18-02-2015,"Google's YouTube to launch subscription model in ""few months"" - CNBC ",Feb 18 Google Inc is set to launch a subscription model for YouTube in a few months  CNBC quoted Robert Kyncl  the online video service's head of content and business operations as saying at the Code/Media conference.,topStory
GOOGL,Alphabet Inc,18-02-2015,BRIEF-Expert System becomes technology partner of Google Cloud Platform ,* Reported on Tuesday that it has joined Google's  partner program as technology partner of the Google Cloud platform,normal
GOOG,Alphabet Inc,20-02-2015,Google wins dismissal of U.S. lawsuit over Android app limits ,A federal judge on Friday dismissed a lawsuit accusing Google Inc of harming smartphone buyers by forcing handset makers that use its Android operating system to make the search engine company's own applications the default option.,topStory
GOOG,Alphabet Inc,20-02-2015,Google wins dismissal of U.S. lawsuit over Android app limits ,A federal judge on Friday dismissed a lawsuit accusing Google Inc of harming smartphone buyers by forcing handset makers that use its Android operating system to make the search engine company's own applications the default option.,normal
GOOG,Alphabet Inc,20-02-2015,Google wins dismissal of U.S. lawsuit over Android app limits ,Feb 20 A federal judge on Friday dismissed a lawsuit accusing Google Inc of harming smartphone buyers by forcing handset makers that use its Android operating system to make the search engine company's own applications the default option.,normal
GOOG,Alphabet Inc,20-02-2015,Italian privacy watchdog says to conduct inspections at Google U.S. offices ,BRUSSELS Italy's data privacy watchdog said Google Inc had agreed to it conducting inspections at its Californian headquarters  the first time a European Union regulator will make checks on the company inside U.S. territory.,normal
GOOGL,Alphabet Inc,20-02-2015,Google wins dismissal of U.S. lawsuit over Android app limits ,A federal judge on Friday dismissed a lawsuit accusing Google Inc of harming smartphone buyers by forcing handset makers that use its Android operating system to make the search engine company's own applications the default option.,topStory
GOOGL,Alphabet Inc,20-02-2015,Google wins dismissal of U.S. lawsuit over Android app limits ,A federal judge on Friday dismissed a lawsuit accusing Google Inc of harming smartphone buyers by forcing handset makers that use its Android operating system to make the search engine company's own applications the default option.,normal
