Company,Organization,Date,Headline,Article,Relevance
IBM,International Business Machines Corporation,02-03-2015,IBM shareholder sues company  alleging it overvalued chip unit ,NEW YORK IBM Corp was sued on Monday by a shareholder that said it committed securities fraud by failing to write down a money-losing semiconductor unit before agreeing to pay another company $1.5 billion to take that unit off its hands.,topStory
IBM,International Business Machines Corporation,02-03-2015,IBM shareholder sues company  alleging it overvalued chip unit ,NEW YORK IBM Corp was sued on Monday by a shareholder that said it committed securities fraud by failing to write down a money-losing semiconductor unit before agreeing to pay another company $1.5 billion to take that unit off its hands.,normal
IBM,International Business Machines Corporation,02-03-2015,IBM shareholder sues company  alleging it overvalued chip unit ,NEW YORK  March 2 IBM Corp was sued on Monday by a shareholder that said it committed securities fraud by failing to write down a money-losing semiconductor unit before agreeing to pay another company $1.5 billion to take that unit off its hands.,normal
IBM,International Business Machines Corporation,12-03-2015,BRIEF-EVRY to cooperate with IBM on mobile applications services ,* To cooperate with IBM on development  deployment and management of mobile application solutions in the Nordic market  Source text for Eikon:  Further company coverage:    (Gdynia Newsroom),normal
IBM,International Business Machines Corporation,23-03-2015,IBM to share technology with China in strategy shift: CEO ,BEIJING IBM Corp will share technology with Chinese firms and will actively help build China's industry  CEO Virginia Rometty said in Beijing as she set out a strategy for one of the foreign firms hardest hit by China's shifting technology policies.,topStory
IBM,International Business Machines Corporation,23-03-2015,IBM to share technology with China in strategy shift -CEO ,BEIJING  March 23 IBM Corp will share technology with Chinese firms and will actively help build China's industry  CEO Virginia Rometty said in Beijing as she set out a strategy for one of the foreign firms hardest hit by China's shifting technology policies.,normal
IBM,International Business Machines Corporation,02-04-2015,IBM uncovers new  sophisticated bank transfer cyber scam ,SEATTLE IBM has uncovered a sophisticated fraud scheme run by a well- funded Eastern European gang of cyber criminals that uses a combination of phishing  malware and phone calls that the technology company says has netted more than $1 million from large and medium-sized U.S. companies.,topStory
IBM,International Business Machines Corporation,02-04-2015,Exclusive: IBM hired advisers to deal with restless investors - sources ,NEW YORK/BOSTON Some top shareholders of IBM  disappointed by 11 straight quarters of falling revenues  are seeking help from activist investors to shake up the company  but have been turned down by both Bill Ackman's Pershing Square and Jeffrey Ubben's ValueAct  according to people with knowledge of the matter.,normal
IBM,International Business Machines Corporation,02-04-2015,IBM uncovers new  sophisticated bank transfer cyber scam ,SEATTLE  April 2 IBM has uncovered a sophisticated fraud scheme run by a well- funded Eastern European gang of cyber criminals that uses a combination of phishing  malware and phone calls that the technology company says has netted more than $1 million from large and medium-sized U.S. companies.,normal
IBM,International Business Machines Corporation,02-04-2015,IBM forges mobile app partnership with China Telecom ,BEIJING International Business Machines (IBM)  has struck a deal with China Telecom Corp Ltd  to offer and manage corporate-grade mobile apps  the latest in a string of tie-ups with Chinese firms.,normal
IBM,International Business Machines Corporation,02-04-2015,IBM forges mobile app partnership with China Telecom ,BEIJING  April 2 International Business Machines (IBM) has struck a deal with China Telecom Corp Ltd  to offer and manage corporate-grade mobile apps  the latest in a string of tie-ups with Chinese firms.,normal
IBM,International Business Machines Corporation,03-04-2015,Exclusive: IBM hire advisers to deal with restless investors - sources ,NEW YORK/BOSTON Some top shareholders of IBM  disappointed by 11 straight quarters of falling revenues  are seeking help from activist investors to shake up the company  but have been turned down by both Bill Ackman's Pershing Square and Jeffrey Ubben's ValueAct  according to people with knowledge of the matter.,topStory
IBM,International Business Machines Corporation,22-04-2015,Peugeot  IBM working to connect cars to shops and servicing ,FRANKFURT PSA Peugeot Citroen  and IBM  are working together to hook cars up to the Internet  going beyond mapping and infotainment to link vehicles up to shops  service networks and urban transport grids  the companies said on Wednesday.,topStory
IBM,International Business Machines Corporation,22-04-2015,"Peugeot  IBM agree to expanded ""connected car"" partnership deal ",FRANKFURT  April 22 PSA Peugeot Citroën   Europe's second largest carmaker  and computer services supplier IBM  said on Wednesday they agreed to a partnership deal for connected car services that go beyond current navigation and infotainment offerings.,normal
IBM,International Business Machines Corporation,08-05-2015,BRIEF-Monitise and IBM win Société Générale's mobile banking contract ,* Société Générale has announced launch of new mobile banking offering  developed with support of IBM and Monitise that it will gradually roll out across Africa  Source text for Eikon:  Further company coverage:,topStory
IBM,International Business Machines Corporation,11-05-2015,11th Circuit says IBM had power to lower sales commission ,"A U.S. appeals court on Monday rejected an IBM Corp software salesman's challenge to the company's ability to slash a commission he earned for his role in a ""blockbuster deal"" with Bank of America.",topStory
IBM,International Business Machines Corporation,24-06-2015,Fitch Affirms IBM's IDRs at 'A+/F1'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  June 24 (Fitch) Fitch Ratings has affirmed the ratings for  International Business Machines Corporation (IBM)  including the long-term  Issuer Default Rating (IDR) at 'A+'. The Rating Outlook is Stable. Fitch's  action affects approximately $49 billion of debt  including IBM's undrawn $10  billion credit facility. A full list if rating actions follows at the end of  this press release. KEY RATING DRIVERS The ratings and Outlook,topStory
IBM,International Business Machines Corporation,01-07-2015,BRIEF-Neste chooses IBM to develop its business processes ,* Says has chosen IBM to be its partner in renewing Neste's central enterprise resource planning solution.,topStory
IBM,International Business Machines Corporation,21-07-2015,IBM  United Tech drag Dow; Apple results weigh on futures ,U.S. stocks closed lower on Tuesday as results from IBM and United Technologies dampened early optimism over earnings season and after-the-bell declines in major tech shares suggested losses would continue on Wednesday.,topStory
IBM,International Business Machines Corporation,27-07-2015,U.S. court rejects appeal of apartheid lawsuits against Ford  IBM ,NEW YORK Victims of apartheid in South Africa cannot pursue lawsuits seeking to hold Ford Motor Co and IBM Corp liable for conducting business that helped perpetuate the practice decades ago  a U.S. appeals court ruled on Monday.,topStory
IBM,International Business Machines Corporation,27-07-2015,Ford  IBM defeat appeal over apartheid abuses: U.S. court ,Victims of apartheid in South Africa cannot pursue lawsuits seeking to hold Ford Motor Co and IBM Corp liable for conducting business that helped perpetuate the practice decades ago  a federal appeals court ruled on Monday.,normal
IBM,International Business Machines Corporation,27-07-2015,UPDATE 1-U.S. court rejects appeal of apartheid lawsuits against Ford  IBM ,NEW YORK  July 27 Victims of apartheid in South Africa cannot pursue lawsuits seeking to hold Ford Motor Co  and IBM Corp liable for conducting business that helped perpetuate the practice decades ago  a U.S. appeals court ruled on Monday.,normal
IBM,International Business Machines Corporation,27-07-2015,Ford  IBM defeat appeal over apartheid abuses -U.S. court ,NEW YORK  July 27 Victims of apartheid in South Africa cannot pursue lawsuits seeking to hold Ford Motor Co  and IBM Corp liable for conducting business that helped perpetuate the practice decades ago  a federal appeals court ruled on Monday.,normal
IBM,International Business Machines Corporation,06-08-2015,IBM to buy Merge Healthcare in $1 billion deal ,IBM Corp  said it would buy medical image company Merge Healthcare Inc  in a $1 billion deal and combine it with its newly formed health analytics unit  which is powered by its famous Watson supercomputer.,topStory
IBM,International Business Machines Corporation,06-08-2015,UPDATE 2-IBM to buy Merge Healthcare in $1 bln deal ,Aug 6 IBM Corp said it would buy medical image company Merge Healthcare Inc in a $1 billion deal and combine it with its newly formed health analytics unit  which is powered by its famous Watson supercomputer.,normal
IBM,International Business Machines Corporation,10-09-2015,BRIEF-IBM acquires StrongLoop ,* IBM acquires StrongLoop to extend enterprise reach using IBM cloud,topStory
IBM,International Business Machines Corporation,13-10-2015,UAE's Etihad Airways signs $700 million IT deal with IBM ,ABU DHABI Abu Dhabi's Etihad Airways has signed a 10-year $700 million deal with IBM for a range of information technology services and infrastructure  the companies said on Tuesday.,topStory
IBM,International Business Machines Corporation,13-10-2015,UAE's Etihad Airways signs $700 mln IT deal with IBM ,ABU DHABI  Oct 13 Abu Dhabi's Etihad Airways has signed a 10-year $700 million deal with IBM for a range of information technology services and infrastructure  the companies said on Tuesday.,normal
IBM,International Business Machines Corporation,27-10-2015,IBM says SEC investigating company's books  shares fall ,SAN FRANCISCO The U.S. Securities and Exchange Commission is investigating how the International Business Machines Corp  recognized revenue for certain deals in the United States  Britain and Ireland  IBM said on Tuesday  news that sent its shares down 4 percent.,normal
IBM,International Business Machines Corporation,27-10-2015,UPDATE 2-IBM says SEC investigating company's accounts ,* Shares hit 5-year low in intraday session   (Adds IBM statement  background  buyback details),normal
IBM,International Business Machines Corporation,10-11-2015,IBM can't shut down age bias class action - judge ,Two former IBM employees who say the company lied about downsizing in order to replace them with younger workers can proceed with a proposed class action  a U.S. judge ruled on Monday.,topStory
IBM,International Business Machines Corporation,08-12-2015,Ex-IBM employee from China arrested in U.S. for code theft ,NEW YORK A former software engineer for IBM Corp  in China has been arrested by U.S. authorities for allegedly stealing proprietary source code from his former employer  prosecutors announced on Tuesday.,topStory
