Company,Organization,Date,Headline,Article,Relevance
AAPL,Apple Inc,17-02-2015,HIGHLIGHTS-Top U.S. hedge funds cut Apple stakes ahead of all-time high ,NEW YORK  Feb 17 Top U.S. hedge fund management firms  including David Einhorn's Greenlight Capital and Philippe Laffont's Coatue Management  reduced their stakes in Apple Inc  during the fourth quarter  ahead of the iPhone maker's strong rally in 2015  according to regulatory filings.,topStory
AAPL,Apple Inc,17-02-2015,HIGHLIGHTS-Top U.S. hedge funds cut Apple stakes ahead of all-time high ,NEW YORK  Feb 17 Top U.S. hedge fund management firms  including David Einhorn's Greenlight Capital and Philippe Laffont's Coatue Management  reduced their stakes in Apple Inc  during the fourth quarter  ahead of the iPhone maker's strong rally in 2015  according to regulatory filings.,normal
AAPL,Apple Inc,17-02-2015,CORRECTED-HIGHLIGHTS-Top U.S. hedge funds scale back on Apple ahead of all-time high ,NEW YORK  Feb 17 Top U.S. hedge fund management firms  including David Einhorn's Greenlight Capital and Philippe Laffont's Coatue Management  cut their stakes in Apple Inc  during the fourth quarter  ahead of the iPhone maker's strong rally this year  according to regulatory filings.,normal
AAPL,Apple Inc,17-02-2015,Apple orders 5-6 million watches: WSJ ,Apple Inc  has asked its Asian suppliers to make 5-6 million units of its three Apple Watch models for the first-quarter  the Wall Street Journal reported  citing people familiar with the matter. | Video ,normal
AAPL,Apple Inc,17-02-2015,UPDATE 1-Apple orders 5-6 million watches - WSJ ,Feb 17 Apple Inc has asked its Asian suppliers to make 5-6 million units of its three Apple Watch models for the first-quarter  the Wall Street Journal reported  citing people familiar with the matter.,normal
AAPL,Apple Inc,17-02-2015,Apple orders 5-6 million Watches - WSJ ,Feb 17 Apple Inc has asked its Asian suppliers to make 5-6 million units of its three Apple Watch models for the first-quarter  the Wall Street Journal reported  citing people familiar with the matter.,normal
AAPL,Apple Inc,18-02-2015,CORRECTED-HIGHLIGHTS-Top U.S. hedge funds cut Apple stakes ahead of all-time high ,NEW YORK  Feb 17 Top U.S. hedge fund management firms  including David Einhorn's Greenlight Capital and Philippe Laffont's Coatue Management  reduced their stakes in Apple Inc  during the fourth quarter  ahead of the iPhone maker's strong rally in 2015  according to regulatory filings.,normal
AAPL,Apple Inc,18-02-2015,Top U.S. hedge funds cut Apple stakes ahead of all-time high ,NEW YORK Top U.S. hedge fund management firms  including David Einhorn's Greenlight Capital and Philippe Laffont's Coatue Management  reduced their stakes in Apple Inc during the fourth quarter  ahead of the iPhone maker's strong rally in 2015  according to regulatory filings.,normal
AAPL,Apple Inc,19-02-2015,Apple poaching auto engineers to build battery division: lawsuit ,SAN FRANCISCO Electric-car battery maker A123 Systems has sued Apple Inc for poaching top engineers to build a large-scale battery division  according to a court filing that offered further evidence that the iPhone maker may be developing a car. | Video ,normal
AAPL,Apple Inc,19-02-2015,Apple poaching auto engineers to build battery division -lawsuit ,SAN FRANCISCO Electric-car battery maker A123 Systems has sued Apple Inc for poaching top engineers to build a large-scale battery division  according to a court filing that offered further evidence that the iPhone maker may be developing a car.,normal
AAPL,Apple Inc,19-02-2015,UPDATE 3-Apple poaching auto engineers to build battery division -lawsuit ,SAN FRANCISCO  Feb 18 Electric-car battery maker A123 Systems has sued Apple Inc for poaching top engineers to build a large-scale battery division  according to a court filing that offered further evidence that the iPhone maker may be developing a car.,normal
AAPL,Apple Inc,19-02-2015,Apple poaching auto engineers to build battery division -lawsuit ,SAN FRANCISCO  Feb 18 Electric-car battery maker A123 Systems has sued Apple Inc for poaching top engineers to build a large-scale battery division  according to a court filing that offered further evidence that the iPhone maker may be developing a car.,normal
AAPL,Apple Inc,20-02-2015,Apple hiring big brains in car battery space ,SAN FRANCISCO A year and a half ago  Apple Inc  had applied for just eight patents related to auto batteries. Recently  it has hired a bevy of engineers  just one of whom had already filed for 17 in his former career  according to a Thomson Reuters analysis.,topStory
AAPL,Apple Inc,20-02-2015,Apple hiring big brains in car battery space ,SAN FRANCISCO A year and a half ago  Apple Inc  had applied for just eight patents related to auto batteries. Recently  it has hired a bevy of engineers  just one of whom had already filed for 17 in his former career  according to a Thomson Reuters analysis.,normal
