Company,Organization,Date,Headline,Article,Relevance
INTC,Intel Corporation,24-02-2015,Former McAfee president leaves Intel to run ForeScout ,Mike DeCesare  a senior executive with Intel Corp's security group  has left the company and taken a job running privately held cybersecurity firm ForeScout.,topStory
INTC,Intel Corporation,24-02-2015,Former McAfee president leaves Intel to run ForeScout ,Feb 24 Mike DeCesare  a senior executive with Intel Corp's security group  has left the company and taken a job running privately held cybersecurity firm ForeScout.,normal
INTC,Intel Corporation,02-03-2015,Intel launches chip for new push into low-price smartphones ,SAN FRANCISCO Intel Corp is shipping new mobile chips that represent the semiconductor company's biggest hope for making progress in smartphones this year.,topStory
INTC,Intel Corporation,02-03-2015,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacenters  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
INTC,Intel Corporation,02-03-2015,Intel launches chip for new push into low-price smartphones ,SAN FRANCISCO  March 2 Intel Corp is shipping new mobile chips that represent the semiconductor company's biggest hope for making progress in smartphones this year.,normal
INTC,Intel Corporation,02-03-2015,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA  March 2 Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacentres  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
INTC,Intel Corporation,02-03-2015,BRIEF-Ericsson  Intel CEOs say in partnership to develop cloud based software and hardware products ,* Ericsson  Intel CEOs say in partnership to develop cloud based software and hardware products  Further company coverage:,normal
INTC,Intel Corporation,03-03-2015,Israel's TowerJazz to produce sensors for Intel's 3D cameras ,TEL AVIV  March 3 TowerJazz has won a contract from Intel Corp to produce infrared sensors for Intel's 3D cameras  the Israeli chip manufacturer said on Tuesday.,topStory
INTC,Intel Corporation,05-03-2015,Huawei  Intel expand tie-up amid China's rising scrutiny of U.S. tech firms ,BEIJING China's Huawei Technologies Co Ltd [HWT.UL] and Intel Corp are expanding an existing alliance to provide cloud computing to global telecoms carriers  as U.S. tech firms vie for Chinese tie-ups to retain access to a tough mainland market.,topStory
INTC,Intel Corporation,05-03-2015,Huawei  Intel expand tie-up amid China's rising scrutiny of U.S. tech firms ,BEIJING  March 5 China's Huawei Technologies Co Ltd and Intel Corp are expanding an existing alliance to provide cloud computing to global telecoms carriers  as U.S. tech firms vie for Chinese tie-ups to retain access to a tough mainland market.,normal
