Company,Organization,Date,Headline,Article,Relevance
MSFT,Microsoft Corporation,26-02-2015,Ex-executives say fired by Microsoft for hostess charge doubts ,SEATTLE Two former Microsoft Corp managers have sued the company  saying they were forced out after they raised concerns about an employee's large claims for expenses in South Korea that may have included sex services.,topStory
MSFT,Microsoft Corporation,26-02-2015,UPDATE 1-Ex-execs say fired by Microsoft for hostess charge doubts ,SEATTLE  Feb 26 Two former Microsoft Corp  managers have sued the company  saying they were forced out after they raised concerns about an employee's large claims for expenses in South Korea that may have included sex services.,normal
MSFT,Microsoft Corporation,26-02-2015,Ex-managers say Microsoft retaliated after complaints of hostess bar expenses ,SEATTLE Two former Microsoft Corp  managers have sued the company  saying they were forced out after they raised concerns about an employee's large claims for expenses in South Korea that may have included sex services.,normal
MSFT,Microsoft Corporation,26-02-2015,Ex-managers say Microsoft retaliated after complaints of hostess bar expenses ,SEATTLE  Feb 26 Two former Microsoft Corp  managers have sued the company  saying they were forced out after they raised concerns about an employee's large claims for expenses in South Korea that may have included sex services.,normal
MSFT,Microsoft Corporation,06-03-2015,Microsoft warns Windows PCs also vulnerable to 'Freak' attacks ,"BOSTON Hundreds of millions of Windows PC users are vulnerable to attacks exploiting the recently uncovered ""Freak"" security vulnerability  which was initially believed to only threaten mobile devices and Mac computers  Microsoft Corp warned.",topStory
MSFT,Microsoft Corporation,06-03-2015,UPDATE 1-Microsoft warns Windows PCs also vulnerable to 'Freak' attacks ,"BOSTON  March 6 Hundreds of millions of Windows PC users are vulnerable to attacks exploiting the recently uncovered ""Freak"" security vulnerability  which was initially believed to only threaten mobile devices and Mac computers  Microsoft Corp warned.",normal
MSFT,Microsoft Corporation,07-03-2015,Microsoft sues Kyocera over cell phones  seeks U.S. injunction ,SAN FRANCISCO Microsoft Corp sued Kyocera Corp for patent infringement on Friday  alleging the Japanese company's Duraforce  Hydro and Brigadier cell phone lines violate seven Microsoft patents.,topStory
MSFT,Microsoft Corporation,07-03-2015,UPDATE 1-Microsoft sues Kyocera over cell phones  seeks U.S. injunction ,SAN FRANCISCO  March 6 Microsoft Corp  sued Kyocera Corp for patent infringement on Friday  alleging the Japanese company's Duraforce  Hydro and Brigadier cell phone lines violate seven Microsoft patents.,normal
MSFT,Microsoft Corporation,07-03-2015,Microsoft sues Kyocera over cell phones  seeks U.S. injunction ,SAN FRANCISCO  March 6 Microsoft Corp  sued Kyocera Corp for patent infringement on Friday  alleging Kyocera's Duraforce  Hydro and Brigadier cell phone lines infringe seven Microsoft patents.,normal
MSFT,Microsoft Corporation,13-03-2015,Exclusive: Microsoft's digital assistant to head to Android  Apple devices ,"SEATTLE Microsoft is working on an advanced version of its competitor to Apple's Siri  using research from an artificial intelligence project called ""Einstein.""",topStory
MSFT,Microsoft Corporation,17-03-2015,Microsoft to offer biometric sign-in for Windows 10 ,SEATTLE  March 17 Microsoft Corp will introduce an automatic biometric sign-in option with its Windows 10 operating system due out later this year  the first time it has offered such a service widely across devices.,topStory
MSFT,Microsoft Corporation,17-03-2015,Ford turns back to Microsoft to build connected-car services ,DETROIT  March 17 Ford Motor Co is turning to one of its early technology partners  Microsoft Corp   to help expand the automaker's connected car services.,normal
MSFT,Microsoft Corporation,18-03-2015,Microsoft must face Xbox 360 class action claims ,Microsoft Corp must face class action claims by Xbox 360 owners who say the video game console has a design defect that causes game discs to be gouged  a federal appeals court ruled on Wednesday.,topStory
MSFT,Microsoft Corporation,18-03-2015,Microsoft must face Xbox 360 class action claims ,Microsoft Corp must face class action claims by Xbox 360 owners who say the video game console has a design defect that causes game discs to be gouged  a federal appeals court ruled on Wednesday.,normal
MSFT,Microsoft Corporation,18-03-2015,UPDATE 1-Microsoft must face Xbox 360 class action claims ,March 18 Microsoft Corp must face class action claims by Xbox 360 owners who say the video game console has a design defect that causes game discs to be gouged  a federal appeals court ruled on Wednesday.,normal
MSFT,Microsoft Corporation,18-03-2015,Microsoft must face class action claims over alleged Xbox defect ,March 18 A federal appeals court on Wednesday revived class-action allegations in which owners of Microsoft Corp Xbox 360 video game consoles sued the company over an alleged design defect that causes game discs to be gouged.,normal
MSFT,Microsoft Corporation,18-03-2015,Microsoft tackles China piracy with free upgrade to Windows 10 ,SEATTLE/BEIJING Microsoft Corp is making its biggest push into the heavily pirated Chinese consumer computing market this summer by offering free upgrades to Windows 10 to all Windows users  regardless of whether they are running genuine copies of the software. | Video ,normal
MSFT,Microsoft Corporation,18-03-2015,Microsoft tackles China piracy with free upgrade to Windows 10 ,SEATTLE/BEIJING  March 17 Microsoft Corp  is making its biggest push into the heavily pirated Chinese consumer computing market this summer by offering free upgrades to Windows 10 to all Windows users  regardless of whether they are running genuine copies of the software.,normal
MSFT,Microsoft Corporation,19-03-2015,Microsoft  Oracle object to RadioShack sale to shield licenses ,Microsoft Corp and Oracle America Inc have objected to RadioShack's sale of its stores  citing concerns about licensed products used by the bankrupt electronics retailer.,topStory
MSFT,Microsoft Corporation,23-03-2015,Samsung to pre-install Microsoft apps on Android tablets ,SEATTLE  March 23 Microsoft Corp's  Office apps will be pre-installed in some Samsung  tablets running Google Inc's Android system  extending an agreement to put some Microsoft apps on the new Samsung Galaxy S6 phone.,topStory
MSFT,Microsoft Corporation,27-03-2015,Yahoo  Microsoft extend search partnership talks for 30 days ,SAN FRANCISCO  March 27 Yahoo Inc and Microsoft Corp agreed to extend by 30 days the deadline to re-negotiate a ten year search deal  as the two Internet companies attempt to revamp a thorny partnership crafted by former chief executives.,topStory
MSFT,Microsoft Corporation,02-04-2015,Microsoft brings document scanner app to iPhones  Android ,SEATTLE  April 2 Microsoft Corp said on Thursday it is bringing one of its most popular apps  which lets people take photos of a document and turn it into a editable file  to Apple Inc's iPhone and Google Inc's  Android.,topStory
MSFT,Microsoft Corporation,07-04-2015,Microsoft  Getty Images settle dispute over online photo tool ,"NEW YORK Getty Images has dropped its lawsuit against Microsoft Corp over alleged ""massive"" copyright infringement  announcing on Tuesday a plan to amicably bring Getty's photos to Microsoft's Internet search engine and devices.",topStory
MSFT,Microsoft Corporation,07-04-2015,Microsoft  Getty Images settle dispute over online photo tool ,"NEW YORK Getty Images has dropped its lawsuit against Microsoft Corp over alleged ""massive"" copyright infringement  announcing on Tuesday a plan to amicably bring Getty's photos to Microsoft's Internet search engine and devices.",normal
MSFT,Microsoft Corporation,07-04-2015,Microsoft  Getty Images settle dispute over online photo tool ,"NEW YORK  April 7 Getty Images has dropped its lawsuit against Microsoft Corp over alleged ""massive"" copyright infringement  announcing on Tuesday a plan to amicably bring Getty's photos to Microsoft's Internet search engine and devices.",normal
MSFT,Microsoft Corporation,07-04-2015,BRIEF-Bloober Team unit signs distribution deal with Microsoft ,* Its unit iFun4all Sp. z o.o. signs deal with Microsoft Corporation for distribution of Blind'n'Bluff game on Xbox One platform  Source text for Eikon:  Further company coverage:    (Gdynia Newsroom),normal
MSFT,Microsoft Corporation,08-04-2015,Court questions Google on patent values in Microsoft case ,SAN FRANCISCO A U.S. appeals court appeared skeptical on Wednesday toward Google Inc's bid to charge Microsoft Corp a high royalty rate to use some of the Internet search provider's Motorola Mobility patents.,topStory
MSFT,Microsoft Corporation,08-04-2015,Court questions Google on patent values in Microsoft case ,SAN FRANCISCO A U.S. appeals court appeared skeptical on Wednesday toward Google Inc's bid to charge Microsoft Corp a high royalty rate to use some of the Internet search provider's Motorola Mobility patents.,normal
MSFT,Microsoft Corporation,08-04-2015,Court questions Google on patent values in Microsoft case ,SAN FRANCISCO  April 8 A U.S. appeals court appeared skeptical on Wednesday toward Google Inc's  bid to charge Microsoft Corp a high royalty rate to use some of the Internet search provider's Motorola Mobility patents.,normal
MSFT,Microsoft Corporation,16-04-2015,UPDATE 1-Microsoft and Yahoo amend search deal ,April 16 Microsoft Corp and Yahoo Inc  amended a 2009 search partnership  giving Yahoo more control over how search results are displayed on desktops and mobile devices.,topStory
MSFT,Microsoft Corporation,16-04-2015,Microsoft and Yahoo amend search deal ,April 16 Microsoft Corp and Yahoo Inc  amended a 2009 partnership to give Yahoo more flexibility to enhance the search services on any platform.,normal
MSFT,Microsoft Corporation,16-04-2015,Microsoft quietly content as EU moves on Google ,SAN FRANCISCO Microsoft Corp emanated an air of quiet satisfaction on Wednesday as European antitrust regulators readied charges against rival Google Inc for abusing its monopoly power in the online search business.,normal
MSFT,Microsoft Corporation,16-04-2015,Microsoft quietly content as EU moves on Google ,SAN FRANCISCO  April 15 Microsoft Corp  emanated an air of quiet satisfaction on Wednesday as European antitrust regulators readied charges against rival Google Inc  for abusing its monopoly power in the online search business.,normal
MSFT,Microsoft Corporation,17-04-2015,Microsoft unveils touch-friendly Office apps for Windows phones ,SAN FRANCISCO Microsoft Corp  on Friday unveiled a long-awaited suite of touch-friendly Office apps that allow Windows phone users to work on Word  PowerPoint and Excel documents on their phones with touch commands and to transfer them easily between devices.,normal
MSFT,Microsoft Corporation,17-04-2015,Microsoft unveils touch-friendly Office apps for Windows phones ,SAN FRANCISCO  April 17 Microsoft Corp  on Friday unveiled a long-awaited suite of touch-friendly Office apps that allow Windows phone users to work on Word  PowerPoint and Excel documents on their phones with touch commands and to transfer them easily between devices.,normal
MSFT,Microsoft Corporation,21-04-2015,Yahoo  Microsoft add termination clause in search deal: filing ,The 10-year search partnership  crafted by former Microsoft Chief Executive Steve Ballmer and former Yahoo CEO Carol Bartz  allowed the companies to amend or terminate the agreement five  years after its commencement on Feb. 23  2015.,topStory
MSFT,Microsoft Corporation,21-04-2015,Yahoo  Microsoft add termination clause in search deal - filing ,April 21 Yahoo Inc and Microsoft Corp  added a termination clause to the terms of their search partnership agreement under which either company can end the deal on or after Oct. 1  2015  according to a regulatory filing by Yahoo on Monday. (http://1.usa.gov/1En0U0y),normal
MSFT,Microsoft Corporation,21-04-2015,BRIEF-Space Hellas signs resale agreement for Microsoft Azure services ,* Says it signed an enterprise agreement for resale of Microsoft Azure services,normal
MSFT,Microsoft Corporation,23-04-2015,Microsoft profit  revenue beats Wall Street view; shares up ,Microsoft Corp on Thursday reported revenue and profit above Wall Street expectations  as sales of its hardware and cloud-computing services helped to offset a decline in the company's core Windows business.,normal
MSFT,Microsoft Corporation,23-04-2015,UPDATE 2-Microsoft profit  revenue beats Wall St view; shares up ,April 23 Microsoft Corp on Thursday reported revenue and profit above Wall Street expectations  as sales of its hardware and cloud-computing services helped to offset a decline in the company's core Windows business.,normal
MSFT,Microsoft Corporation,23-04-2015,Microsoft profit  revenue beats Wall Street view ,April 23 Microsoft Corp on Thursday reported revenue and profit above Wall Street expectations  as sales of its hardware and cloud-computing products helped to offset a decline in its core Windows business.,normal
MSFT,Microsoft Corporation,24-04-2015,Microsoft profit  revenue beats Wall Street view; shares up ,Microsoft Corp on Thursday reported revenue and profit above Wall Street expectations  as sales of its hardware and cloud-computing services helped to offset a decline in the company's core Windows business.,normal
MSFT,Microsoft Corporation,27-04-2015,Microsoft phones infringe patents - U.S. Int'l Trade Commission judge ,NEW YORK Microsoft Corp lost a round in a potentially costly patent battle when a U.S. International Trade Commission judge on Monday found that the software giant used InterDigital Inc's technology in its mobile phones without permission.,topStory
MSFT,Microsoft Corporation,27-04-2015,Microsoft phones infringe patents: U.S. International Trade Commission judge ,NEW YORK Microsoft Corp  lost a round in a potentially costly patent battle when a U.S. International Trade Commission judge on Monday found that the software giant used InterDigital Inc's technology in its mobile phones without permission.,normal
MSFT,Microsoft Corporation,27-04-2015,UPDATE 2-Microsoft phones infringe patents - U.S. Int'l Trade Commission judge ,NEW YORK  April 27 Microsoft Corp lost a round in a potentially costly patent battle when a U.S. International Trade Commission judge on Monday found that the software giant used InterDigital Inc's technology in its mobile phones without permission.,normal
MSFT,Microsoft Corporation,27-04-2015,Microsoft phones infringe patents -U.S. Int'l Trade Commission judge ,NEW YORK  April 27 Microsoft Corp lost a round in a potentially costly patent battle when a U.S. International Trade Commission judge on Monday found that the software giant used InterDigital Inc's technology in its mobile phones without permission.,normal
MSFT,Microsoft Corporation,29-04-2015,Microsoft targets $20 billion in annual cloud revenue by 2018 ,SAN FRANCISCO Microsoft Corp is targeting $20 billion in annual revenue from its cloud-computing businesses by the end of fiscal 2018  Chief Executive Satya Nadella said on Wednesday  signaling a tripling of such revenue in three years.,topStory
MSFT,Microsoft Corporation,29-04-2015,Microsoft targets $20 billion in annual cloud revenue by 2018 ,SAN FRANCISCO  April 29 Microsoft Corp  is targeting $20 billion in annual revenue from its cloud-computing businesses by the end of fiscal 2018  Chief Executive Satya Nadella said on Wednesday  signaling a tripling of such revenue in three years.,normal
MSFT,Microsoft Corporation,29-04-2015,Microsoft opens door to Android  Apple phone apps ,SAN FRANCISCO Microsoft Corp  is making it easier for apps written for rival Google Inc's  Android and Apple Inc's  iOS systems to work on Windows phones  in a bid to attract users to its unpopular mobile devices  the company's operating systems chief said on Wednesday.,normal
MSFT,Microsoft Corporation,29-04-2015,UPDATE 5-Microsoft opens door to Android  Apple phone apps ,SAN FRANCISCO  April 29 Microsoft Corp  is making it easier for apps written for rival Google Inc's  Android and Apple Inc's iOS systems to work on Windows phones  in a bid to attract users to its unpopular mobile devices  the company's operating systems chief said on Wednesday.,normal
MSFT,Microsoft Corporation,29-04-2015,Microsoft to allow Android apps on Windows phones -sources ,SAN FRANCISCO  April 29 Microsoft Corp  is set to allow apps from rival Google Inc's Android system onto its own Windows phones later this year  according to two sources familiar with the matter on Wednesday.,normal
MSFT,Microsoft Corporation,30-04-2015,Microsoft opens door to Android  Apple phone apps ,SAN FRANCISCO Microsoft Corp  is making it easier for apps written for rival Google Inc's  Android and Apple Inc's  iOS systems to work on Windows phones  in a bid to attract users to its unpopular mobile devices  the company's operating systems chief said on Wednesday.,normal
MSFT,Microsoft Corporation,05-05-2015,Salesforce shares spike on report of Microsoft evaluating bid ,Shares of Salesforce.com Inc  jumped as much as 6.4 percent on Tuesday after a Bloomberg report that Microsoft Corp  was evaluating a bid for the cloud software provider.,topStory
MSFT,Microsoft Corporation,05-05-2015,UPDATE 1-Salesforce shares spike on report of Microsoft evaluating bid ,May 5 Shares of Salesforce.com Inc  jumped as much as 6.4 percent on Tuesday after a Bloomberg report that Microsoft Corp was evaluating a bid for the cloud software provider.,normal
